8001,2001,1,23,2012-02-05 00:00
8002,2002,2,44,2012-02-05 00:00
8003,2003,3,11,2012-02-06 00:00
8004,2002,4,66,2012-02-26 00:00
8005,2003,5,56,2012-04-01 00:00
8006,2001,6,22,2012-05-25 00:00
8007,2002,7,34,2012-07-07 00:00
8008,2001,8,12,2012-07-29 00:00
8009,2001,9,24,2012-10-10 00:00
8010,2003,10,36,2012-11-06 00:00
8011,2003,11,48,2012-12-30 00:00
8012,2003,12,60,2013-02-10 00:00
8013,2001,13,72,2013-03-12 00:00
8014,2002,14,89,2013-03-12 00:00
8015,2002,15,91,2013-03-12 00:00
8016,2001,16,33,2013-06-01 00:00
8017,2001,17,55,2013-08-14 00:00
8018,2002,18,77,2013-08-14 00:00
8019,2003,19,88,2013-08-14 00:00
8020,2001,20,99,2013-11-23 00:00
8021,2002,21,100,2013-12-30 00:00
8022,2003,22,1,2013-12-30 00:00
8023,2001,23,3,2013-12-30 00:00
8024,2002,24,6,2013-12-30 00:00
8025,2003,25,71,2013-12-30 00:00
8026,2001,26,7,2013-12-30 00:00
8027,2002,27,2,2013-12-31 00:00
8028,2001,28,4,2013-12-31 00:00
8029,2003,29,31,2014-01-01 00:00
8030,2001,30,9,2014-01-15 00:00
